model,removed_rank,trial,random_cross_reliance,random_cross_auc_change
dinov2_l,16,6,0.014410816719240762,-0.004117325197124266
dinov2_l,32,6,0.0215090195967766,-0.006931057224026094
dinov2_l,56,6,0.03049600901688557,-0.013037199965213464
dinov2_l,1,7,0.0026959470537720356,-0.0004063876971244218
dinov2_l,2,7,0.004053694221059952,-0.0007901278409090384
dinov2_l,4,7,0.006274735217835333,-0.0008234650394249865
dinov2_l,8,7,0.00929935453575091,-0.0014612201414657688
dinov2_l,16,7,0.013873410353718802,-0.004190159728664322
dinov2_l,32,7,0.02086886207294811,-0.005396459009740395
dinov2_l,56,7,0.02982938460425797,-0.013806129696196767
dinov2_l,1,8,0.0026671231879051016,0.0009582632769017385
dinov2_l,2,8,0.004470117681558464,-0.0006618520987939913
dinov2_l,4,8,0.006156957431721714,-0.0014253464169758923
dinov2_l,8,8,0.009339170568516736,-0.0019928035134507693
dinov2_l,16,8,0.014148983462475217,-0.0041191370013914375
dinov2_l,32,8,0.02076060635596818,-0.008997238810296793
dinov2_l,56,8,0.030323366154705426,-0.01759280061456403
dinov2_l,1,9,0.002471903697410416,-0.0006723605635435836
dinov2_l,2,9,0.004162411956383424,-0.001048853490259738
dinov2_l,4,9,0.00643887782024731,-0.0012115535134509248
dinov2_l,8,9,0.00964166724693868,-0.0018217691906308175
dinov2_l,16,9,0.014071032896327718,-0.001601453791743923
dinov2_l,32,9,0.02133515538605553,-0.004191246811224514
dinov2_l,56,9,0.030084978083774288,-0.013293389088590013
dinov2_l,1,10,0.0027408586417612666,-0.0018145219735622442
dinov2_l,2,10,0.0039423399584796875,-0.0016782742926715333
dinov2_l,4,10,0.006358461773205003,-0.00015490926484240664
dinov2_l,8,10,0.00984509736344627,-0.0027298454893320834
dinov2_l,16,10,0.015213519602409827,-0.006607468981910891
dinov2_l,32,10,0.022536906093525714,-0.011680158569109422
dinov2_l,56,10,0.03053173038478099,-0.016066174339053774
dinov2_l,1,11,0.002435746171412341,-0.0017612549281076362
dinov2_l,2,11,0.00411264921773406,-0.0016985665004637385
dinov2_l,4,11,0.006795682532201215,-0.002225076820501104
dinov2_l,8,11,0.010179251055726715,-0.0039727432166049015
dinov2_l,16,11,0.014446144579565915,-0.003825262349258063
dinov2_l,32,11,0.021833332653717345,-0.010248470837198487
dinov2_l,56,11,0.030815222432071115,-0.008920780670222617
dinov2_l,1,12,0.003190729969021422,-0.00040203936688310016
dinov2_l,2,12,0.004818998682519171,-0.0012289468344156562
dinov2_l,4,12,0.006573678329245296,-0.0007919396451763205
dinov2_l,8,12,0.00972820821631317,-0.0007647625811688652
dinov2_l,16,12,0.014366912618314126,-0.004726816152597513
dinov2_l,32,12,0.0219205545625097,-0.005949421672077793
dinov2_l,56,12,0.030772875374449886,-0.014207263160946115
dinov2_l,1,13,0.0036064975650400974,-0.0014043294874769296
dinov2_l,2,13,0.004819305329383557,-0.0012956212314471083
dinov2_l,4,13,0.006601950397188798,-0.002075784148886761
dinov2_l,8,13,0.009860954595286662,-0.0005357505217995495
dinov2_l,16,13,0.014353757977827262,-0.0015369535598329653
dinov2_l,32,13,0.021087018629965027,-0.0027686181006494337
dinov2_l,56,13,0.030095963213042674,-0.006594061630334047
dinov2_l,1,14,0.002549862626464571,0.0001773756377549951
dinov2_l,2,14,0.00417810247526194,-0.000982179093228286
dinov2_l,4,14,0.0064193345740057705,-0.001967075892857273
dinov2_l,8,14,0.010644366714817598,-0.0063900524698515815
dinov2_l,16,14,0.0158940225501691,-0.01107682774814478
dinov2_l,32,14,0.022850222576969,-0.012282402307513873
dinov2_l,56,14,0.03136575073290183,-0.018693290526437867
dinov2_l,1,15,0.0027816505400028095,0.0009800049281075696
dinov2_l,2,15,0.004346538947592396,0.0012713430542671267
dinov2_l,4,15,0.007108861295647629,-0.0005785091025045652
dinov2_l,8,15,0.010248639656151205,-0.0001520103780149329
dinov2_l,16,15,0.014786256867341942,-0.006769081922541775
dinov2_l,32,15,0.02224935749840211,-0.017674331806586396
dinov2_l,56,15,0.031552740967970526,-0.0343494535598331
dinov2_l,1,16,0.0025738360878436815,0.0016083386479591733
dinov2_l,2,16,0.004066970343205748,0.0012097417091836427
dinov2_l,4,16,0.006690298849512822,0.001992078791744012
dinov2_l,8,16,0.009544353210448145,0.0024667715097402843
dinov2_l,16,16,0.014006619044475253,0.004284735911410098
dinov2_l,32,16,0.021109163427910114,0.008388834937384071
dinov2_l,56,16,0.030385702226886167,-0.0006252536525974683
dinov2_l,1,17,0.0023625642493320634,-0.0010245753130798674
dinov2_l,2,17,0.004733682574159015,-0.0030429252666975826
dinov2_l,4,17,0.00706350166070309,-0.003076624826066743
dinov2_l,8,17,0.01014923163019535,-0.0035632754522263443
dinov2_l,16,17,0.014432491665176763,-0.0076894784902598046
dinov2_l,32,17,0.022399466078966222,-0.01746851084183676
dinov2_l,56,17,0.03144366340332928,-0.023892444051484274
dinov2_l,1,18,0.002659917753424549,0.0008665859809832144
dinov2_l,2,18,0.004543906059371328,-0.0005024133232838235
dinov2_l,4,18,0.007234420056377259,-0.00047306209415587386
dinov2_l,8,18,0.010324193182804746,-0.0009966735273656546
dinov2_l,16,18,0.01466790954626213,-0.004734425730519409
dinov2_l,32,18,0.02143327209236999,-0.008863527655380565
dinov2_l,56,18,0.030971403368161267,-0.01824215126391482
dinov2_l,1,19,0.0024558381866897107,0.00022448254870133244
dinov2_l,2,19,0.0040375570804096475,0.0007408467648422068
dinov2_l,4,19,0.006997819993675536,0.000158895234229961
