rank,linear_validation,finetuned_validation,linear_test,finetuned_test
161,88.49557522123894,89.82300884955751,90.7079646017699,92.47787610619469
162,88.93805309734513,89.82300884955751,91.1504424778761,92.47787610619469
163,88.93805309734513,89.82300884955751,91.1504424778761,92.47787610619469
164,89.82300884955751,90.2654867256637,91.1504424778761,92.47787610619469
165,90.2654867256637,90.2654867256637,91.1504424778761,92.47787610619469
166,90.2654867256637,90.7079646017699,91.5929203539823,92.47787610619469
167,90.2654867256637,90.7079646017699,91.5929203539823,92.47787610619469
168,90.2654867256637,90.7079646017699,91.5929203539823,92.92035398230088
169,90.2654867256637,90.7079646017699,92.03539823008849,92.92035398230088
170,90.2654867256637,90.7079646017699,92.03539823008849,93.80530973451327
171,90.2654867256637,90.7079646017699,92.47787610619469,93.80530973451327
172,90.2654867256637,91.1504424778761,92.47787610619469,94.24778761061947
173,90.2654867256637,91.5929203539823,92.47787610619469,94.24778761061947
174,90.7079646017699,91.5929203539823,92.47787610619469,95.13274336283186
175,90.7079646017699,91.5929203539823,92.47787610619469,95.13274336283186
176,90.7079646017699,91.5929203539823,92.47787610619469,95.57522123893806
177,90.7079646017699,92.03539823008849,92.47787610619469,95.57522123893806
178,91.1504424778761,92.92035398230088,92.47787610619469,95.57522123893806
179,91.1504424778761,92.92035398230088,92.92035398230088,95.57522123893806
180,91.1504424778761,92.92035398230088,92.92035398230088,95.57522123893806
181,91.1504424778761,92.92035398230088,92.92035398230088,95.57522123893806
182,92.03539823008849,92.92035398230088,93.36283185840708,96.01769911504425
183,92.47787610619469,92.92035398230088,94.24778761061947,96.01769911504425
184,93.36283185840708,93.36283185840708,95.57522123893806,96.01769911504425
185,93.36283185840708,93.36283185840708,95.57522123893806,96.01769911504425
186,93.36283185840708,93.80530973451327,96.46017699115043,96.01769911504425
187,93.36283185840708,93.80530973451327,96.46017699115043,96.01769911504425
188,93.36283185840708,94.24778761061947,96.46017699115043,96.46017699115043
189,93.36283185840708,94.69026548672566,96.46017699115043,96.46017699115043
190,93.80530973451327,94.69026548672566,96.90265486725663,96.46017699115043
191,94.24778761061947,94.69026548672566,96.90265486725663,96.46017699115043
192,94.24778761061947,95.13274336283186,96.90265486725663,96.46017699115043
193,94.24778761061947,95.57522123893806,96.90265486725663,96.46017699115043
194,94.24778761061947,95.57522123893806,96.90265486725663,96.46017699115043
195,94.69026548672566,95.57522123893806,96.90265486725663,96.46017699115043
196,94.69026548672566,95.57522123893806,96.90265486725663,96.46017699115043
197,94.69026548672566,95.57522123893806,96.90265486725663,96.46017699115043
198,95.13274336283186,95.57522123893806,96.90265486725663,96.46017699115043
199,95.13274336283186,96.46017699115043,96.90265486725663,96.46017699115043
200,95.57522123893806,96.46017699115043,96.90265486725663,96.90265486725663
201,96.01769911504425,96.46017699115043,97.34513274336283,97.34513274336283
202,96.01769911504425,96.90265486725663,97.34513274336283,97.34513274336283
203,96.01769911504425,96.90265486725663,97.34513274336283,97.34513274336283
204,96.01769911504425,96.90265486725663,97.78761061946902,97.34513274336283
205,96.01769911504425,96.90265486725663,97.78761061946902,97.34513274336283
206,96.01769911504425,96.90265486725663,98.23008849557522,97.34513274336283
207,96.01769911504425,96.90265486725663,98.23008849557522,97.78761061946902
208,96.90265486725663,97.34513274336283,98.23008849557522,97.78761061946902
209,97.34513274336283,97.34513274336283,98.23008849557522,97.78761061946902
210,97.34513274336283,97.78761061946902,98.23008849557522,97.78761061946902
211,97.34513274336283,97.78761061946902,98.23008849557522,97.78761061946902
212,97.34513274336283,97.78761061946902,98.23008849557522,97.78761061946902
213,97.78761061946902,97.78761061946902,98.67256637168141,98.67256637168141
214,98.67256637168141,98.23008849557522,98.67256637168141,98.67256637168141
215,98.67256637168141,98.23008849557522,99.11504424778761,98.67256637168141
216,98.67256637168141,98.23008849557522,99.11504424778761,98.67256637168141
217,98.67256637168141,98.67256637168141,99.11504424778761,99.11504424778761
218,98.67256637168141,98.67256637168141,99.11504424778761,99.5575221238938
219,98.67256637168141,98.67256637168141,99.11504424778761,99.5575221238938
220,99.11504424778761,98.67256637168141,99.11504424778761,99.5575221238938
221,99.11504424778761,98.67256637168141,99.5575221238938,99.5575221238938
222,99.11504424778761,99.11504424778761,99.5575221238938,99.5575221238938
223,99.11504424778761,99.5575221238938,99.5575221238938,99.5575221238938
224,99.11504424778761,99.5575221238938,100.0,100.0
225,100.0,100.0,100.0,100.0
226,100.0,100.0,100.0,100.0
