epoch,batch,condition,batch_size,confirmed_margins,possible_margins,confirmation_rate,zero_confirmed
8,14,cross_variable_variable,8,16,16,1.0,False
8,14,cross_variable_same,8,16,16,1.0,False
8,14,cross_same_variable,8,16,16,1.0,False
8,14,cross_same_same,8,16,16,1.0,False
8,15,cross_variable_variable,8,16,16,1.0,False
8,15,cross_variable_same,8,16,16,1.0,False
8,15,cross_same_variable,8,16,16,1.0,False
8,15,cross_same_same,8,16,16,1.0,False
8,16,cross_variable_variable,8,16,16,1.0,False
8,16,cross_variable_same,8,16,16,1.0,False
8,16,cross_same_variable,8,16,16,1.0,False
8,16,cross_same_same,8,16,16,1.0,False
8,17,cross_variable_variable,8,16,16,1.0,False
8,17,cross_variable_same,8,16,16,1.0,False
8,17,cross_same_variable,8,16,16,1.0,False
8,17,cross_same_same,8,16,16,1.0,False
8,18,cross_variable_variable,9,18,18,1.0,False
