trial,fixed_points,raw_mean_alignment_to_fit_direction,raw_median_alignment_to_fit_direction,raw_positive_fraction_to_fit_direction,raw_resultant_length,projected_mean_alignment_to_fit_direction,projected_median_alignment_to_fit_direction,projected_positive_fraction_to_fit_direction,projected_resultant_length
89,0,0.4285868456056819,0.4622395009922988,0.9722222222222222,0.44621607661247253,0.02373084492908208,0.043276934125521554,0.5833333333333334,0.09251675009727478
90,0,0.4382841199262939,0.4598317300470347,0.9722222222222222,0.45445549488067627,0.01072373253843022,0.04931522944391936,0.6388888888888888,0.09339971840381622
91,0,0.4370934041972628,0.42877261843288206,1.0,0.45349976420402527,0.013380595982929384,-0.0014581371673426068,0.5,0.08744734525680542
92,0,0.42775029086724414,0.4165174113581279,1.0,0.44438719749450684,0.03698071690013649,0.04824371654919063,0.5555555555555556,0.09851769357919693
93,0,0.43433051380112736,0.4923978544565652,1.0,0.4504750967025757,0.02076727554996831,0.015577764095237642,0.5277777777777778,0.08878134936094284
94,0,0.4275950310531519,0.4897710401831489,0.9166666666666666,0.44373267889022827,0.02648198017740697,-0.012421398405057363,0.4722222222222222,0.07859605550765991
95,0,0.43939617431781003,0.4548716290133359,1.0,0.4556538462638855,0.024698052699830393,-0.0394760762059016,0.4722222222222222,0.08663620799779892
96,0,0.4458002858454991,0.4494985437441867,0.9722222222222222,0.4624783396720886,0.0329655921357391,0.06004555457590298,0.5833333333333334,0.09376747161149979
97,0,0.45102216260133215,0.47534223553192034,1.0,0.46647030115127563,0.016018258501403176,-0.0040753528121527174,0.4722222222222222,0.10293293744325638
98,0,0.4241289760394248,0.4722776910705795,0.9444444444444444,0.4402464032173157,0.02960671837508355,-0.04014222470777559,0.4444444444444444,0.09014932811260223
99,0,0.4273958738270516,0.4444519493406368,0.9722222222222222,0.4439113438129425,0.033683086110447014,0.09404916116719939,0.6388888888888888,0.10415688157081604
100,0,0.445346441317217,0.44800243983714283,1.0,0.4607861638069153,0.01986360698922634,0.01581020214733011,0.5277777777777778,0.08856160938739777
101,0,0.4188100917061474,0.4174519964207535,0.9444444444444444,0.4350201189517975,0.016797803769555333,0.04917276151016192,0.5555555555555556,0.0924910232424736
102,0,0.4272743764558195,0.4752424835018525,0.9444444444444444,0.4425602853298187,0.03159645281646812,0.04843299744849641,0.6388888888888888,0.09757876396179199
103,0,0.42918190942832585,0.4461734042182061,0.9444444444444444,0.44606032967567444,0.019204875869776594,-0.02744000158632355,0.4444444444444444,0.10270959883928299
104,0,0.42920064424711774,0.46562463007936095,0.9166666666666666,0.4449065625667572,0.018875195579984974,0.007375335974430133,0.5,0.09164539724588394
105,0,0.4209555345515403,0.44148637410416136,0.9722222222222222,0.4386010766029358,0.02186262265241113,0.030876117365400108,0.5277777777777778,0.09356102347373962
106,0,0.4379748461734653,0.41917192248156293,1.0,0.4544733464717865,0.03025954000136412,0.08239376324187828,0.5277777777777778,0.10532379150390625
107,0,0.4374804328229475,0.4715620237241489,1.0,0.4555271863937378,0.022629248139684848,0.005070037983393522,0.5,0.08262713253498077
108,0,0.4393381787951183,0.4403053176591769,1.0,0.4579036831855774,0.0038844635648167427,-0.003708103864313689,0.5,0.10343589633703232
109,0,0.4358946482109061,0.452782539814911,1.0,0.44981640577316284,0.03256073764303294,-0.02561772721478126,0.4722222222222222,0.09686454385519028
110,0,0.44474519568183013,0.4772028551964063,0.9722222222222222,0.4610643982887268,0.015179956136978652,0.01991725261645154,0.5555555555555556,0.08044271171092987
111,0,0.42698697211367326,0.4375413814214001,0.9722222222222222,0.44255247712135315,0.025633572086659104,0.015271034585394756,0.5,0.09235735982656479
112,0,0.4377240573490284,0.436195394840984,1.0,0.4518744945526123,0.031053485868275253,0.03510333938863888,0.6111111111111112,0.08325521647930145
113,0,0.42935493766211197,0.4517802432338154,1.0,0.445929616689682,0.021866814219597068,0.04731205689376404,0.5555555555555556,0.10920816659927368
114,0,0.4379703710536123,0.4469952030076631,1.0,0.4545224905014038,0.017178221602118928,0.03336557856305092,0.5277777777777778,0.10679825395345688
115,0,0.43168255132692884,0.4443751615770307,0.9722222222222222,0.4487956464290619,0.024701469160336123,0.02612765954627473,0.5277777777777778,0.09978050738573074
116,0,0.44158483723739195,0.45213117583086165,1.0,0.45771709084510803,0.019270624642252623,-0.026941031073103132,0.4722222222222222,0.0851178839802742
117,0,0.4526937015715789,0.48717699293138583,1.0,0.4685317873954773,0.02216058297974554,0.029740980377891413,0.5,0.09943192452192307
118,0,0.44977380702883946,0.42611225105170614,0.9722222222222222,0.4672095477581024,0.0076887251976349436,0.012469441214417717,0.5,0.11962887644767761
119,0,0.43966279495578386,0.4663661453462692,0.9722222222222222,0.4572359621524811,0.02393508592991186,0.027281516742547893,0.5555555555555556,0.08950907737016678
120,0,0.4268048702408547,0.4290925912375594,0.9722222222222222,0.4421708285808563,0.036348850712823885,0.0446139479057202,0.5833333333333334,0.10157277435064316
121,0,0.4287929520733994,0.4438122369089397,1.0,0.4459831118583679,0.02726485325296047,0.033035439806734464,0.5277777777777778,0.09069616347551346
122,0,0.42731423691246306,0.4279203011883636,0.9722222222222222,0.44524049758911133,0.01976515665735818,-0.05375434327324373,0.4444444444444444,0.08257497102022171
123,0,0.43071329913085177,0.4078374136919337,1.0,0.4479537308216095,0.02251075010426707,-0.002349588619779172,0.5,0.08064006268978119
124,0,0.43249929643840296,0.4482216484706757,0.9444444444444444,0.447319358587265,0.028038050432098678,0.018111804922797105,0.5277777777777778,0.07997212558984756
125,0,0.4351408857452036,0.4683013238817594,0.9722222222222222,0.45387396216392517,0.022928523524642294,0.0659202924113103,0.5833333333333334,0.09275178611278534
126,0,0.4378070370265655,0.4813201763535442,0.9722222222222222,0.4548852741718292,0.027232195865154286,-0.03954175548724988,0.4444444444444444,0.08883360773324966
127,0,0.44712881410709177,0.432427712045069,1.0,0.46454542875289917,0.024115480548964858,0.006939299776502414,0.5277777777777778,0.09098325669765472
128,0,0.4198835422704764,0.46461937838096545,0.9722222222222222,0.4358465373516083,0.02260730816368961,-0.00069901801932356,0.5,0.07784395664930344
129,0,0.43631101058548005,0.45653168730349153,0.9722222222222222,0.45417264103889465,0.028394654700264334,0.06685570806403819,0.5555555555555556,0.092190220952034
130,0,0.4514629625264226,0.45407668320634187,1.0,0.46746307611465454,0.0110911713628786,0.051738465392532296,0.5277777777777778,0.1112213283777237
131,0,0.4353666431381473,0.48390808882184944,0.9722222222222222,0.45194604992866516,0.03165697857234696,0.027251677197060824,0.5833333333333334,0.08778849989175797
132,0,0.44357552621660046,0.44886190974021745,1.0,0.46060535311698914,0.030503946324325754,0.019403378379534868,0.5555555555555556,0.11363276839256287
133,0,0.431478046280542,0.4532500100953435,1.0,0.44874176383018494,0.003883349478061853,0.028461419588199654,0.5555555555555556,0.0975768119096756
134,0,0.42485899139011507,0.45587535766580206,0.9722222222222222,0.4418712556362152,0.016885293331767824,0.006523461218503498,0.5,0.10215091705322266
